curdr,predr,prendr,predtr,prerain
11.84789793,12.47147151,12.02575803,9.6,3.5
4.988588604,11.84789793,6.680976682,9,16.8
4.988588604,4.988588604,7.158189303,8,183.9
14.34219224,4.988588604,6.299206586,8.7,128.9
26.81366374,14.34219224,16.98876928,8.3,82.5
36.16726738,26.81366374,21.18824034,8.6,495.0
64.85165185,36.16726738,28.82364226,7.8,220.8
63.6045047,64.85165185,40.46763019,7.9,50.5
117.2318322,63.6045047,54.11591113,8.1,352.4
245.0644152,117.2318322,84.1803062,7.2,334.2
109.1253757,245.0644152,178.85929,8,34.9
